time	V(n001)	V(n002)	V(n003)
1.205256799775058e-002	9.973379e-001	5.565838e-002	9.739738e-001
1.205742506162226e-002	9.942902e-001	6.157913e-002	9.763708e-001
1.205827744126001e-002	9.937558e-001	6.294971e-002	9.769256e-001
1.205998220053551e-002	9.926875e-001	6.663770e-002	9.784186e-001
1.206228635166099e-002	9.912440e-001	7.299803e-002	9.809935e-001
1.206300968965437e-002	9.907910e-001	7.589424e-002	9.821659e-001
1.206424087170805e-002	9.900202e-001	8.277684e-002	9.849519e-001
1.206469817940655e-002	9.897340e-001	8.635661e-002	9.864009e-001
1.206517349284352e-002	9.894365e-001	9.158854e-002	9.885185e-001
1.206552383471514e-002	9.892173e-001	9.687746e-002	9.906589e-001
1.206580987061642e-002	9.890383e-001	1.028864e-001	9.930906e-001
1.206604450813886e-002	9.888915e-001	1.099086e-001	9.959320e-001
1.206628094510732e-002	9.887435e-001	1.207005e-001	1.000298e+000
1.206655943464128e-002	9.885693e-001	1.409137e-001	1.008476e+000
1.206682098934505e-002	9.884056e-001	1.718659e-001	1.020999e+000
1.206710447687159e-002	9.882283e-001	2.241757e-001	1.042165e+000
1.206738823370647e-002	9.880508e-001	2.990835e-001	1.072480e+000
1.206772805969552e-002	9.878383e-001	4.139364e-001	1.118969e+000
1.206819632797093e-002	9.875454e-001	5.935441e-001	1.191679e+000
1.207007179645999e-002	9.863729e-001	1.352628e+000	1.498998e+000
1.207128092868410e-002	9.856172e-001	1.843724e+000	1.697821e+000
1.207342962930929e-002	9.842750e-001	2.716430e+000	2.051142e+000
1.207641620853495e-002	9.824101e-001	3.929443e+000	2.542238e+000
1.207716285334136e-002	9.819441e-001	4.212009e+000	2.656649e+000
1.207767151388345e-002	9.816267e-001	4.340569e+000	2.708722e+000
1.207823115482135e-002	9.812775e-001	4.390661e+000	2.729026e+000
1.207862423852857e-002	9.810323e-001	4.394323e+000	2.730511e+000
1.220912538378615e-002	9.009302e-001	4.393598e+000	2.730217e+000
1.233962652904373e-002	8.247404e-001	4.393062e+000	2.729999e+000
1.247012767430131e-002	7.524627e-001	4.392715e+000	2.729858e+000
1.260062881955890e-002	6.840974e-001	4.392557e+000	2.729793e+000
1.273112996481648e-002	6.196442e-001	4.392588e+000	2.729805e+000
1.286163111007406e-002	5.591033e-001	4.392807e+000	2.729894e+000
1.299213225533164e-002	5.024745e-001	4.393216e+000	2.730060e+000
1.390517876308656e-002	1.658379e-001	4.393216e+000	2.730058e+000
1.428081519645976e-002	7.070624e-002	4.393216e+000	2.730058e+000
1.459894668026225e-002	2.573337e-002	4.393216e+000	2.730058e+000
1.490313826997428e-002	7.920218e-003	4.393216e+000	2.730058e+000
1.526398889771899e-002	1.889810e-002	4.393216e+000	2.730058e+000
1.572966793424793e-002	8.627854e-002	4.393216e+000	2.730058e+000
1.648412718279969e-002	3.150926e-001	4.393216e+000	2.730059e+000
1.768321075709002e-002	8.960682e-001	4.393216e+000	2.730062e+000
1.793930643648731e-002	1.036925e+000	4.393323e+000	2.730106e+000
1.819540211588459e-002	1.187758e+000	4.393394e+000	2.730135e+000
1.845149779528188e-002	1.348566e+000	4.393426e+000	2.730149e+000
1.870759347467916e-002	1.519350e+000	4.393422e+000	2.730148e+000
1.896368915407645e-002	1.700109e+000	4.393380e+000	2.730132e+000
1.921978483347373e-002	1.890843e+000	4.393300e+000	2.730100e+000
1.947588051287101e-002	2.091553e+000	4.393183e+000	2.730054e+000
1.958192299265230e-002	2.173935e+000	4.403576e+000	2.734262e+000
1.968796547243358e-002	2.256459e+000	4.409323e+000	2.736589e+000
1.979400795221487e-002	2.339126e+000	4.410426e+000	2.737036e+000
1.990005043199616e-002	2.421936e+000	4.406884e+000	2.735602e+000
2.000609291177744e-002	2.504888e+000	4.398697e+000	2.732288e+000
2.011213539155873e-002	2.587984e+000	4.385865e+000	2.727093e+000
2.021817787134001e-002	2.671222e+000	4.368389e+000	2.720018e+000
2.022162567519744e-002	2.673924e+000	4.370207e+000	2.720754e+000
2.022507347905486e-002	2.676625e+000	4.368623e+000	2.720113e+000
2.022852128291228e-002	2.679326e+000	4.363637e+000	2.718094e+000
2.023196908676971e-002	2.682027e+000	4.355249e+000	2.714698e+000
2.023541689062713e-002	2.684728e+000	4.343459e+000	2.709925e+000
2.023886469448455e-002	2.687428e+000	4.328266e+000	2.703775e+000
2.024231249834198e-002	2.690128e+000	4.309671e+000	2.696248e+000
2.024260041603678e-002	2.690354e+000	4.309333e+000	2.696110e+000
2.024288833373158e-002	2.690579e+000	4.305709e+000	2.694643e+000
2.024317625142638e-002	2.690805e+000	4.298800e+000	2.691847e+000
2.024346416912118e-002	2.691030e+000	4.288606e+000	2.687722e+000
2.024375208681598e-002	2.691255e+000	4.275126e+000	2.682268e+000
2.024404000451079e-002	2.691481e+000	4.258361e+000	2.675484e+000
2.024432792220559e-002	2.691706e+000	4.238310e+000	2.667372e+000
2.024459595842879e-002	2.691916e+000	4.200397e+000	2.652033e+000
2.024487748709627e-002	2.692137e+000	4.139961e+000	2.627577e+000
2.024517220902339e-002	2.692368e+000	4.053157e+000	2.592445e+000
2.024553953909425e-002	2.692655e+000	3.921239e+000	2.539045e+000
2.024654547757860e-002	2.693443e+000	3.520182e+000	2.376679e+000
2.024804857853882e-002	2.694620e+000	2.909814e+000	2.129568e+000
2.024951401646266e-002	2.695767e+000	2.314618e+000	1.888599e+000
2.025228286481889e-002	2.697935e+000	1.190037e+000	1.433305e+000
2.025455872408954e-002	2.699717e+000	2.679484e-001	1.059990e+000
