time	Ue	Ua
7.500723355640634e-002	9.971065e-002	-5.455547e+000
7.500865256937707e-002	9.965389e-002	-5.454747e+000
7.501007158234779e-002	9.959713e-002	-5.453317e+000
7.501607844087284e-002	9.935686e-002	-5.445477e+000
7.502471115930948e-002	9.901156e-002	-5.429755e+000
7.504584627013086e-002	9.816615e-002	-5.385054e+000
8.000000000000014e-002	-1.000000e-001	5.447822e+000
8.000159930086807e-002	-9.993603e-002	5.450456e+000
8.000319860173601e-002	-9.987205e-002	5.452325e+000
8.000479790260394e-002	-9.980808e-002	5.453428e+000
8.000639720347186e-002	-9.974411e-002	5.453766e+000
8.000799650433979e-002	-9.968014e-002	5.453338e+000
8.000959580520772e-002	-9.961617e-002	5.452145e+000
8.001119510607566e-002	-9.955220e-002	5.450186e+000
8.001778054667140e-002	-9.928878e-002	5.440691e+000
8.002707543669144e-002	-9.891699e-002	5.423028e+000
8.004922258843379e-002	-9.803110e-002	5.375272e+000
8.007136974017613e-002	-9.714521e-002	5.327351e+000
8.009351689191849e-002	-9.625932e-002	5.279264e+000
8.011566404366083e-002	-9.537344e-002	5.231010e+000
8.013781119540318e-002	-9.448755e-002	5.182591e+000
8.015995834714552e-002	-9.360166e-002	5.134005e+000
8.018210549888788e-002	-9.271578e-002	5.085253e+000
8.500000000000016e-002	1.000000e-001	-5.449792e+000
8.500148115699871e-002	9.994075e-002	-5.452310e+000
8.500296231399725e-002	9.988151e-002	-5.454142e+000
8.500444347099580e-002	9.982226e-002	-5.455290e+000
8.500592462799435e-002	9.976301e-002	-5.455752e+000
8.500740578499290e-002	9.970377e-002	-5.455529e+000
8.500888694199144e-002	9.964452e-002	-5.454621e+000
8.501036809898999e-002	9.958527e-002	-5.453028e+000
8.501655063282296e-002	9.933797e-002	-5.444717e+000
8.502538095928817e-002	9.898476e-002	-5.428421e+000
8.504722190114988e-002	9.811112e-002	-5.382064e+000
9.000000000000016e-002	-1.000000e-001	5.447822e+000
9.000153514492881e-002	-9.993860e-002	5.450388e+000
9.000307028985745e-002	-9.987719e-002	5.452235e+000
9.000460543478610e-002	-9.981578e-002	5.453363e+000
9.000614057971473e-002	-9.975438e-002	5.453771e+000
9.000767572464338e-002	-9.969297e-002	5.453461e+000
9.000921086957202e-002	-9.963157e-002	5.452431e+000
9.001074601450067e-002	-9.957016e-002	5.450681e+000
9.001704517220278e-002	-9.931819e-002	5.441934e+000
9.002606365940481e-002	-9.895746e-002	5.425078e+000
9.003802143688836e-002	-9.847914e-002	5.399587e+000
9.004997921437190e-002	-9.800083e-002	5.373942e+000
9.006193699185544e-002	-9.752252e-002	5.348145e+000
9.007389476933897e-002	-9.704421e-002	5.322195e+000
9.008585254682251e-002	-9.656590e-002	5.296093e+000
9.009781032430606e-002	-9.608759e-002	5.269837e+000
9.010976810178960e-002	-9.560928e-002	5.243429e+000
9.500000000000020e-002	1.000000e-001	-5.449792e+000
9.500148157279377e-002	9.994074e-002	-5.452310e+000
9.500296314558734e-002	9.988147e-002	-5.454143e+000
9.500444471838092e-002	9.982221e-002	-5.455290e+000
9.500592629117449e-002	9.976295e-002	-5.455752e+000
9.500740786396807e-002	9.970368e-002	-5.455528e+000
9.500888943676164e-002	9.964442e-002	-5.454619e+000
9.501037100955521e-002	9.958516e-002	-5.453025e+000
9.501655379372213e-002	9.933785e-002	-5.444712e+000
9.502538502637897e-002	9.898460e-002	-5.428412e+000
9.504722491750853e-002	9.811100e-002	-5.382058e+000
9.995375361303596e-002	-9.815014e-002	5.346697e+000
1.000000000000000e-001	-1.000000e-001	5.447822e+000
