time	Ue Ua
7.000811539621971e-002	1.623079e-004	-7.839019e-003
7.001026964563942e-002	2.053929e-004	-8.318788e-003
7.001249733467765e-002	2.499467e-004	-9.499867e-003
7.001433488606096e-002	2.866977e-004	-1.071670e-002
7.001641749737492e-002	3.283499e-004	-1.233617e-002
7.002058272000283e-002	4.116544e-004	-1.597167e-002
7.002435988641176e-002	4.871977e-004	-1.957478e-002
7.003018360188812e-002	6.036721e-004	-2.550560e-002
7.004583484351699e-002	9.166969e-004	-4.225262e-002
7.500000000000015e-002	1.000000e-001	-5.458700e+000
7.500815766831116e-002	9.983685e-002	-5.461101e+000
7.501215751596997e-002	9.975685e-002	-5.458823e+000
7.501615736362878e-002	9.967685e-002	-5.456145e+000
7.502015721128759e-002	9.959685e-002	-5.453070e+000
7.502415705894640e-002	9.951686e-002	-5.449596e+000
7.502815690660521e-002	9.943686e-002	-5.445723e+000
7.503215675426402e-002	9.935687e-002	-5.441452e+000
7.503615660192282e-002	9.927687e-002	-5.436782e+000
8.000000000000014e-002	1.110223e-016	-9.893128e-003
8.000247412128271e-002	4.948243e-005	-8.686736e-003
8.000742236384786e-002	1.484473e-004	-7.618264e-003
8.000931985693544e-002	1.863971e-004	-7.902168e-003
8.001127929389981e-002	2.255859e-004	-8.788132e-003
8.001296621045841e-002	2.593242e-004	-9.779064e-003
8.001479153622847e-002	2.958307e-004	-1.107465e-002
8.001844218776859e-002	3.688438e-004	-1.405788e-002
8.002217426960763e-002	4.434854e-004	-1.747224e-002
8.002835060983941e-002	5.670122e-004	-2.361296e-002
8.003392004728385e-002	6.784010e-004	-2.942567e-002
8.006713559676036e-002	1.342712e-003	-6.548316e-002
8.500000000000016e-002	1.000000e-001	-5.458700e+000
8.500840793197258e-002	9.983184e-002	-5.460648e+000
8.501487054289911e-002	9.970259e-002	-5.457486e+000
8.502099950354365e-002	9.958001e-002	-5.451854e+000
8.502712846418821e-002	9.945743e-002	-5.445998e+000
8.503325742483275e-002	9.933485e-002	-5.439916e+000
8.503938638547730e-002	9.921227e-002	-5.433609e+000
8.504551534612184e-002	9.908969e-002	-5.427077e+000
8.505164430676640e-002	9.896711e-002	-5.420320e+000
8.505777326741094e-002	9.884454e-002	-5.413338e+000
9.000000000000016e-002	1.110223e-016	-9.893185e-003
9.000199621912235e-002	3.992438e-005	-8.725243e-003
9.000598865736671e-002	1.197731e-004	-7.306381e-003
9.000723530263045e-002	1.447060e-004	-7.258087e-003
9.000848727930534e-002	1.697456e-004	-7.551407e-003
9.000968180641790e-002	1.936361e-004	-7.980534e-003
9.001087620696967e-002	2.175241e-004	-8.557947e-003
9.001326500807319e-002	2.653002e-004	-1.003588e-002
9.001694758926924e-002	3.389518e-004	-1.280884e-002
9.002097562821640e-002	4.195126e-004	-1.634001e-002
9.002600583743155e-002	5.201168e-004	-2.122007e-002
9.003159026957336e-002	6.318054e-004	-2.696942e-002
9.004786146114439e-002	9.572292e-004	-4.445300e-002
9.500000000000020e-002	1.000000e-001	-5.458700e+000
9.500768170496259e-002	9.984636e-002	-5.461234e+000
9.501139958750750e-002	9.977201e-002	-5.459301e+000
9.501511747005241e-002	9.969765e-002	-5.456972e+000
9.501883535259732e-002	9.962329e-002	-5.454248e+000
9.502255323514224e-002	9.954894e-002	-5.451127e+000
9.502627111768715e-002	9.947458e-002	-5.447611e+000
9.502998900023206e-002	9.940022e-002	-5.443699e+000
9.503370688277697e-002	9.932587e-002	-5.439391e+000
9.932458879801528e-002	1.350822e-002	-7.483368e-001
1.000000000000000e-001	3.719247e-015	-9.893169e-003
